influencer_insta_name,instagram_name,category_1,category_2,followers,audience_country_mostly,authentic_engagement,engagement_avg
grefg_official,TheGrefg,Computers & Gadgets,Machinery & Technologies,7100000,Spain,440100,546100
gucci,Gucci Official,Accessories & Jewellery,Clothing & Outfits,47900000,United States,57900,74300
gururandhawa,Guru Randhawa,Music,NA,31500000,India,110800,135400
gusein.gasanov,ГУСЕЙН ГАСАНОВ,Shows,NA,2.1e+07,Russia,524500,786100
gusttavolima,🏛 Gusttavo Lima 🏛,Music,NA,42900000,Brazil,46900,79800
hadise,Hadise,Music,Shows,13700000,Turkey,220700,257200
haechanahceah,HAECHAN,NA,NA,2700000,N/A,0,2100000
haileesteinfeld,hailee steinfeld,Cinema & Actors/actresses,NA,18200000,United States,1500000,1900000
haileybieber,Hailey Rhode Baldwin Bieber,Lifestyle,Modeling,42200000,United States,1800000,2400000
hakkiakdenizz,hakki akdeniz,Business & Careers,NA,17600000,Russia,120200,174400
handemiyy,Hande Erçel,Cinema & Actors/actresses,NA,27300000,Turkey,2100000,2800000
hannahstocking,Hannah Stocking,Modeling,NA,2.1e+07,United States,237200,337800
hardikpandya93,Hardik Himanshu Pandya,Sports with a ball,NA,20600000,India,860300,1100000
harrykane,Harry Kane,Sports with a ball,NA,12300000,United Kingdom,148300,204400
harrystyles,NA,Music,Fashion,43300000,Brazil,2900000,3900000
hassan_reyvandi,hasan reyvandi حسن ریوندی,Cinema & Actors/actresses,Humor & Fun & Happiness,18700000,Iran,330100,456500
hegdepooja,Pooja Hegde,Cinema & Actors/actresses,NA,18800000,India,831700,959300
helen_yes1,Елена Сажина,Cinema & Actors/actresses,NA,10500000,Russia,342400,442600
henrycavill,Henry Cavill,Cinema & Actors/actresses,NA,19700000,Brazil,795100,966500
heybiblee,이성경,Modeling,NA,13500000,Indonesia,971100,1300000
hi_high_hiy,황인엽,Cinema & Actors/actresses,NA,12900000,South Korea,2600000,3e+06
hi_songjoongki,송중기 songjoongki official,Cinema & Actors/actresses,NA,8800000,Indonesia,1700000,2400000
hi_sseulgi,슬기 Seulgi,Modeling,NA,11900000,Indonesia,849600,1100000
hichasestokes,NA,Lifestyle,NA,7400000,United States,640900,959800
hilaryduff,Hilary Duff,Cinema & Actors/actresses,NA,20600000,United States,147300,188200
hm_son7,Son HeungMin(손흥민)🇰🇷,NA,NA,6e+06,Brazil,395900,644200
holyhaein,정해인,NA,NA,9700000,Indonesia,2100000,2600000
hoooooyeony,Hoyeon,Lifestyle,NA,23700000,South Korea,2e+06,2700000
houseofhighlights,House of Highlights,Sports with a ball,NA,32700000,United States,64600,117200
hrithikroshan,Hrithik Roshan,Cinema & Actors/actresses,NA,41900000,India,638300,805300
hshq,Harry Styles HQ,Music,Cinema & Actors/actresses,5500000,United States,488100,859100
huddy,Chase Hudson,Lifestyle,Art/Artists,11900000,Brazil,228400,317800
humansofny,Humans of New York,Lifestyle,Photography,11800000,United States,181900,215400
hunterschafer,Hunter,NA,NA,7100000,United States,957200,1600000
hyeri_0609,혜리,Music,NA,7e+06,South Korea,447600,539000
hyunah_aa,Hyun Ah,Music,NA,17600000,South Korea,378100,448700
hziyech,Hakim Ziyech,Sports with a ball,NA,6e+06,Morocco,348400,476000
hztttao,Z.TAO🔴黄子韬,Music,NA,11300000,Indonesia,253100,281300
i_m_hendery,Hi👉🏻im Hendery👈🏻,NA,NA,6e+06,United States,965500,1300000
i_nivethathomas,Nivetha Thomas,Cinema & Actors/actresses,NA,5900000,India,395300,447000
iambeckyg,Becky G,Music,NA,31200000,Mexico,679200,817400
iamcardib,Cardi B,Music,Fashion,127200000,United States,2300000,3300000
iamferv,fer,Lifestyle,Art/Artists,8800000,Mexico,1e+06,1500000
iamhalsey,halsey,Music,NA,28900000,United States,793700,1e+06
iammichelemorroneofficial,Michele Morrone,Lifestyle,Cinema & Actors/actresses,12900000,Brazil,654100,938900
iampauloandre,Paulo André 🏁,Lifestyle,NA,6100000,Brazil,122200,424400
iamsrk,Shah Rukh Khan,Cinema & Actors/actresses,NA,28600000,India,717000,909700
iamzlatanibrahimovic,Zlatan Ibrahimović,Sports with a ball,NA,52900000,Italy,306700,473100
iansomerhalder,iansomerhalder,Cinema & Actors/actresses,NA,22500000,United States,527600,788900
ibaillanos,Ibai,Art/Artists,NA,6800000,Spain,859100,1200000
ileana_official,Ileana D'Cruz,Cinema & Actors/actresses,NA,14100000,India,286000,347700
imhyoseop,안효섭,Lifestyle,NA,6e+06,Indonesia,1200000,1400000
imouniroy,mon,Cinema & Actors/actresses,NA,22600000,India,238900,290700
imsebastianstan,Sebastian Stan,Shows,Cinema & Actors/actresses,9e+06,United States,566100,672900
indiancricketteam,Team India,Sports with a ball,NA,23900000,India,223200,260300
indiaroyale,India,Lifestyle,NA,4e+06,United States,384500,1100000
inijedar,Jessica Iskandar Verhaag,Cinema & Actors/actresses,NA,29400000,Indonesia,74500,99700
instagram,Instagram,Photography,NA,487200000,India,352300,467400
iqbaal.e,iqbaal ramadhan,Cinema & Actors/actresses,NA,13400000,Indonesia,271400,465900
irinashayk,irinashayk,Modeling,NA,17900000,Russia,121800,169000
iscoalarcon,Isco Alarcon Suarez,Sports with a ball,NA,23300000,Spain,142700,206200
isisvalverde,isis valverde,Cinema & Actors/actresses,Lifestyle,27800000,Brazil,79400,117200
its.michhh,Michel Chavez,NA,NA,5300000,Mexico,605100,741200
itsmarziapie,Marzia Kjellberg,Beauty,Lifestyle,8200000,United States,603200,705100
itzy.all.in.us,ITZY,Music,NA,15800000,Indonesia,761500,930800
j.m,JIMIN of BTS,NA,NA,32700000,N/A,12700000,12700000
jackharlow,Jack Harlow,Lifestyle,Music,5100000,United States,330800,618400
jacksepticeye,Jacksepticeye,Computers & Gadgets,Machinery & Technologies,7700000,United States,277700,322300
jacksonwang852g7,Jackson Wang,Music,NA,27300000,China,950100,1100000
jacobelordi,Jacob Elordi,Cinema & Actors/actresses,NA,13200000,Brazil,997400,1600000
jacquelinef143,Jacqueline Fernandez,Cinema & Actors/actresses,NA,59300000,India,322000,391800
jadepicon,JADE 🌪,Modeling,Fashion,19400000,Brazil,375200,818400
jailyneojeda,Jailyne Ojeda Ochoa,Modeling,Lifestyle,14100000,United States,183100,253700
jaimelorentelo,El chaval,Cinema & Actors/actresses,NA,14500000,Brazil,285100,381800
jairmessiasbolsonaro,Jair M. Bolsonaro,Finance & Economics,Business & Careers,19500000,Brazil,150900,212600
jakepaul,Jake Paul,Cinema & Actors/actresses,NA,19200000,United States,278200,465100
jamescharles,James Charles,Beauty,NA,23300000,United States,293900,432000
jamesrodriguez10,James Rodríguez,Sports with a ball,NA,49100000,Colombia,506000,768300
jamorant,12 🥷🏽🖤,Lifestyle,Sports with a ball,5900000,United States,332900,537800
janhvikapoor,Janhvi Kapoor,Lifestyle,Cinema & Actors/actresses,16100000,India,951300,1100000
jannatzubair29,Jannat Zubair Rahmani,Cinema & Actors/actresses,NA,41200000,India,614700,748600
jaspritb1,jasprit bumrah,Lifestyle,NA,9500000,India,466500,536000
jaybnow.hr,LIM JAE BEOM,Music,NA,6600000,Brazil,561300,731700
jaydacheaves,JAYDA WAYDA,Clothing & Outfits,NA,7e+06,United States,128500,381300
jbalvin,J Balvin,Music,NA,51900000,Mexico,273600,363000
jennaortega,Jenna Ortega,Cinema & Actors/actresses,Lifestyle,7400000,United States,257100,366100
jennierubyjane,J,Music,NA,64800000,Indonesia,6200000,7400000
jennifer.garner,Jennifer Garner,Cinema & Actors/actresses,NA,12500000,United States,255600,289400
jenniferaniston,Jennifer Aniston,Cinema & Actors/actresses,NA,40100000,Brazil,1600000,2300000
jenniferwinget1,Jennifer Winget,Cinema & Actors/actresses,NA,12300000,India,322300,391700
jennmuriel,Jenn muriel,Lifestyle,Modeling,5500000,Colombia,451500,562600
jensenackles,Jensen Ackles,Cinema & Actors/actresses,NA,9100000,United States,504600,655900
jeremyrenner,Jeremy Renner,Shows,Cinema & Actors/actresses,17200000,United States,192900,230800
jeromepolin,Jerome Polin Sijabat ジェローム,Education,Humor & Fun & Happiness,6500000,Indonesia,424200,622400
jesselingard,JLingz,Sports with a ball,NA,9500000,United Kingdom,192100,294500
jessicah_o,Jessi / 제시,Music,NA,9700000,United States,874500,1100000
jessicajane99,Jessica Jane,Lifestyle,NA,6e+06,Indonesia,441400,582300
jharden13,James Harden,Sports with a ball,NA,11700000,United States,137500,236500
jheneaiko,Jhené Aiko Efuru Chilombo 🔮,Music,NA,1.4e+07,United States,273800,481100
jichangwook,지창욱,Cinema & Actors/actresses,NA,19200000,Indonesia,920200,1200000
jimmyfallon,Jimmy Fallon,Shows,Humor & Fun & Happiness,21300000,United States,97200,120900
jin,Jin of BTS,NA,NA,3.2e+07,United States,11100000,11100000
jin_bighitentertainment,JIN (김석진),Lifestyle,NA,8500000,Indonesia,1200000,1400000
jinyoung_0922jy,박진영,Music,NA,9300000,Indonesia,881400,1200000
jlo,Jennifer Lopez,Music,Cinema & Actors/actresses,200800000,United States,429500,549900
joaogomescantor,João Gomes 🎙,NA,NA,10800000,Brazil,335800,917800
joaoguilherme,J҉O҉T҉I҉N҉H҉A҉,Music,Cinema & Actors/actresses,15500000,Brazil,116800,227100
joeyking,Joey King,Music,Cinema & Actors/actresses,19100000,Brazil,541100,774100
johnnyjsuh,Johnny Suh,Lifestyle,Music,8100000,Indonesia,1300000,1600000
jojotodynho,JoJo,Music,NA,21700000,Brazil,117300,190100
jokowi,Joko Widodo,Finance & Economics,NA,45800000,Indonesia,158000,196000
jongsuk0206,이종석,Cinema & Actors/actresses,NA,22200000,Indonesia,2200000,2900000
jordialbaoficial,Jordi Alba,Sports with a ball,NA,14100000,Spain,135700,196300
jorgelopez_as,Jorge Lopez,Cinema & Actors/actresses,NA,9700000,Brazil,211300,346300
joshu_acoustic,Joshua Hong,Music,NA,4e+06,N/A,0,1e+06
joshuadun,jøsh dun,Music,NA,5800000,United States,540300,660000
juandam___,JuanDa.,NA,NA,3500000,Colombia,772400,941200
juandediospantoja,JD PANTOJA 🇲🇽,Music,Art/Artists,21500000,Mexico,519100,591800
juanpazurita,Juanpa Zurita,Cinema & Actors/actresses,NA,28600000,Mexico,341700,485800
juansguarnizo,Juan Sebastián Guarnizo,NA,NA,4700000,Mexico,659600,722900
juicewrld999,Juice WRLD 9 9 9,NA,NA,12200000,United States,493900,833200
juki_lop,JukiLop,Shows,Family,9100000,Mexico,493000,573300
julesleblanc,julianna,Music,Shows,9700000,United States,409500,592100
julianapaes,Juliana Paes,Art/Artists,Cinema & Actors/actresses,30200000,Brazil,61400,95200
juliette,Juliette,Cinema & Actors/actresses,NA,33700000,Brazil,201200,319800
jungkook_bighitentertainment,JUNGKOOK (전정국) Updates,Management & Marketing,Music,9900000,Brazil,1800000,2e+06
jungkook.97,Jungkook,NA,NA,35800000,N/A,11400000,11400000
justinbieber,Justin Bieber,Music,NA,2.27e+08,India,439100,638200
justinbieber,Justin Bieber,Music,NA,227400000,India,314200,445300
justintimberlake,Justin Timberlake,Music,Art/Artists,64200000,United States,323300,432900
juventus,Juventus,Sports with a ball,NA,52900000,India,61800,89400
k.kbeom,김범 kimbum,NA,NA,5200000,Indonesia,1e+06,1200000
k.mbappe,Kylian Mbappé,Sports with a ball,NA,68900000,France,3e+06,4300000
kajalaggarwalofficial,Kajal A Kitchlu,Cinema & Actors/actresses,NA,21700000,India,527300,638000
kaka,Kaká,Sports with a ball,NA,17900000,Brazil,83600,136100
kaliuchis,NA,Music,NA,3700000,United States,399200,689700
kapilsharma,Kapil Sharma,Cinema & Actors/actresses,Shows,39800000,India,690200,789300
kareenakapoorkhan,Kareena Kapoor Khan,Lifestyle,Cinema & Actors/actresses,8900000,India,367400,458300
karimbenzema,Karim Benzema,Sports with a ball,NA,47400000,France,981200,1400000
karljacobs,Karl Jacobs,NA,NA,4e+06,United States,722500,941700
karolg,KAROL G,Music,NA,50800000,Mexico,4500000,5400000
kartikaaryan,KARTIK AARYAN,Cinema & Actors/actresses,NA,23800000,India,472200,588200
katherinelangford,KATHERINE LANGFORD,Cinema & Actors/actresses,NA,25700000,India,241900,346400
katrinakaif,Katrina Kaif,Beauty,NA,62900000,India,1e+06,1100000
katyperry,KATY PERRY,Music,NA,156600000,Brazil,231800,302600
kawtarbamo,KAWTAR BA-MOHAMED,Cinema & Actors/actresses,NA,7200000,Morocco,275900,374100
kaylanicolejones,NA,Shows,NA,7300000,United States,166500,352700
keerthysureshofficial,Keerthy Suresh,Fashion,Cinema & Actors/actresses,12500000,India,650700,743600
kehlani,Kehlani,Music,Family,13700000,United States,210500,328200
kendalljenner,Kendall,Modeling,Fashion,227400000,United States,3400000,5500000
keniaos,Kenia Os,Music,NA,12600000,Mexico,545200,709000
kentooyamazaki,山﨑賢人,Cinema & Actors/actresses,NA,4900000,Japan,583000,677100
kenzie,kenzie ♡,Art/Artists,NA,14800000,United States,232400,353600
kevindebruyne,Kevin De Bruyne,Sports with a ball,NA,16800000,United Kingdom,247500,382900
kevinhart4real,Kevin Hart,Cinema & Actors/actresses,NA,140200000,United States,111300,141000
kevinroldankr,KR ♛,Music,NA,10100000,Mexico,180200,291400
khabib_nurmagomedov,Хабиб Нурмагомедов,Fitness & Gym,NA,33300000,Russia,252600,353300
khaby00,Khaby Lame,NA,NA,73900000,Iran,4300000,6500000
khloekardashian,Khloé Kardashian,Clothing & Outfits,Lifestyle,230200000,United States,991100,1200000
kiaraaliaadvani,KIARA,Cinema & Actors/actresses,NA,22100000,India,828800,939300
kiernanshipka,Kiernan Shipka,Cinema & Actors/actresses,NA,8100000,Brazil,207300,335800
kimberly.loaiza,KIM LOAIZA 🖤,Clothing & Outfits,Lifestyle,33900000,Mexico,995000,1200000
kimjuncotton,SUHO,Lifestyle,NA,9700000,Indonesia,1400000,1700000
kimkardashian,Kim Kardashian,Fashion,Beauty,296400000,United States,2e+06,2900000
kimshantal,Kim Shantal 🌹,Music,NA,11600000,Mexico,203300,237800
kingarturo23oficial,Arturo Vidal,Sports with a ball,NA,16700000,Italy,120800,194800
kingbach,King Bach,Music,Art/Artists,22100000,United States,120600,242000
kingjames,👑,Sports with a ball,NA,116600000,United States,952900,1600000
kingryan,Ryan Garcia,Fitness & Gym,NA,8700000,United States,209500,316600
kittychicha,NANNO | KITTYCHICHA AMATAYAKUL,Lifestyle,NA,4200000,Philippines,678800,823400
kjapa,KJ Apa,Cinema & Actors/actresses,NA,1.9e+07,United States,1e+06,1500000
kkvsh,🇯🇲🦂🇸🇻,Lifestyle,NA,8200000,United States,198800,336600
klaythompson,Klay Thompson,Sports with a ball,Lifestyle,11600000,United States,202300,294700
kourtneykardash,Kourtney ❤️,Lifestyle,NA,166400000,United States,674500,961200
krisjenner,Kris Jenner,Shows,Beauty,46600000,United States,119600,183400
kritisanon,Kriti,Modeling,NA,47300000,India,565500,658200
ksi,KSI,Music,NA,11200000,United Kingdom,611700,857500
kun11xd,KUN,Lifestyle,NA,6500000,Indonesia,802400,1e+06
kunaguero,Sergio Leonel Agüero,Sports with a ball,NA,22400000,Argentina,458400,794500
kyliejenner,Kylie 🤍,Fashion,Modeling,323300000,United States,7600000,12300000
kyo1122,Song hyekyo,Cinema & Actors/actresses,NA,12900000,Indonesia,636200,810500
kyrieirving,K.A.I Hélà,Sports with a ball,NA,16200000,United States,142700,216800
l7nnon,L7,Lifestyle,Shows,6300000,Brazil,214000,507900
la_segura,LA SEGURA ♛ ♥,Cinema & Actors/actresses,NA,8200000,Colombia,335200,411300
lacikaysomers,Laci Kay Somers,Music,Modeling,11800000,United States,147500,253700
ladivaza,✨LA DIVAZA✨,Music,Modeling,6800000,Mexico,388900,474500
ladygaga,Lady Gaga,Music,Cinema & Actors/actresses,51900000,United States,498300,7e+05
lakers,Los Angeles Lakers,Sports with a ball,NA,19300000,United States,85800,132400
lalalalisa_m,LISA,Music,NA,75700000,Indonesia,7500000,8600000
lamborghini,Lamborghini,Luxury,Cars & Motorbikes,31600000,India,174400,240500
lanacondor,NA,Cinema & Actors/actresses,NA,10900000,Brazil,283000,385700
larasilva,Lara Silva 💦,Shows,Adult content,16800000,Brazil,789000,1200000
larissamanoela,Larissa Manoela,Cinema & Actors/actresses,NA,44800000,Brazil,192100,320400
larray,larri,Lifestyle,Modeling,6700000,United States,357000,521500
laurenlondon,Lauren London,Cinema & Actors/actresses,Modeling,9700000,United States,217700,371600
ldh_sky,이도현,NA,NA,5500000,Indonesia,978400,1300000
leaelui,Lea Elui G,Modeling,Lifestyle,11700000,India,428400,719500
leedongwook_official,이동욱 (Official_Instagram),Cinema & Actors/actresses,NA,14100000,Indonesia,1e+06,1400000
leeyoum262,이유미,Photography,Humor & Fun & Happiness,8100000,South Korea,562700,688800
leighannepinnock,Leigh-Anne Pinnock,Music,NA,8500000,Brazil,279100,398000
lelepons,Lele Pons,Music,NA,47700000,Mexico,724300,1100000
leomessi,Leo Messi,Sports with a ball,Family,315400000,Argentina,4e+06,5300000
leonardodicaprio,Leonardo DiCaprio,Cinema & Actors/actresses,NA,52800000,United States,132000,166200
ler_chek,Валерия Чекалина,Lifestyle,Beauty,10500000,Russia,713000,923300
lestykejora,Lestikejora,Music,NA,24900000,Indonesia,372900,484000
letthelordbewithyou,Scott Disick,Lifestyle,Family,26500000,United States,61500,92200
lewishamilton,Lewis Hamilton,Racing Sports,NA,27500000,Brazil,819900,1200000
lexibrookerivera,Lexi Rivera,Shows,Humor & Fun & Happiness,8400000,United States,778000,975400
liampayne,Liam Payne,Music,NA,24100000,United States,420400,585500
lilbaby,WHAM,Music,NA,18800000,United States,475400,876500
lildurk,DURKIOOO,Music,Art/Artists,1.3e+07,United States,162100,458200
lilireinhart,Lili Reinhart,Cinema & Actors/actresses,NA,2.9e+07,Brazil,1500000,2200000
lilnasx,MONTERO,Music,NA,12200000,United States,815500,1400000
liluzivert,NA,Music,NA,15800000,United States,1100000,2e+06
lilyjcollins,Lily Collins,Cinema & Actors/actresses,NA,26900000,United States,314300,467300
linatejeiro,Lina Tejeiro.,Cinema & Actors/actresses,NA,9200000,Colombia,237700,287000
lisakudrow,Lisa Kudrow,Cinema & Actors/actresses,NA,8500000,India,356600,475700
litkillah,MAWZ💬,Music,NA,7200000,Argentina,438700,578400
littlebodybigheart,Melanie Martinez,Music,NA,11100000,Brazil,913100,1200000
littlemix,Little Mix,Music,NA,15400000,Brazil,172100,232000
liverpoolfc,Liverpool Football Club,Sports with a ball,NA,36700000,United Kingdom,100200,138200
lizakoshy,Liza Koshy,Cinema & Actors/actresses,NA,19600000,United States,156300,208800
lizasoberano,Liza Soberano,Beauty,Cinema & Actors/actresses,16900000,Philippines,243100,289900
lizgillz,Elizabeth Gillies,Music,Cinema & Actors/actresses,13900000,Mexico,563000,816300
lizzobeeating,Lizzo,Music,Lifestyle,12100000,United States,213100,298300
loganpaul,Logan Paul,Fitness & Gym,NA,22500000,United States,549400,733800
lomon991111,Lomon 991111,NA,NA,5700000,N/A,0,1700000
loren,loren gray,Fashion,Modeling,22500000,United States,137300,227300
loud_babi,Bárbara Passos,Lifestyle,NA,9200000,Brazil,200100,323500
loud_victor,Victor Augusto,Lifestyle,Sports with a ball,10400000,Brazil,511200,652300
louist91,Louis Tomlinson,Music,NA,18200000,Brazil,1100000,1500000
louisvuitton,Louis Vuitton,Fashion,Clothing & Outfits,47700000,Brazil,46200,59700
lucas_lira,Lucas Lira,Humor & Fun & Happiness,Lifestyle,5800000,Brazil,296500,434300
lucasranngel,LUCAS RANGEL,Lifestyle,NA,19200000,Brazil,186800,412300
lucyhale,Lucy Hale,Cinema & Actors/actresses,NA,24300000,United States,183500,240400
ludmilla,Ludmilla,Music,NA,26500000,Brazil,143500,212600
luisafernandaw,Luisa Fernanda W,Lifestyle,Beauty,16900000,Colombia,106300,162100
luisasonza,LUÍSA SONZA,Music,Lifestyle,28200000,Brazil,125100,198900
luisitocomunica,Luisillo El Pillo,Humor & Fun & Happiness,Clothing & Outfits,31700000,Mexico,939800,1200000
luissuarez9,Luis Suarez,Sports with a ball,NA,4.3e+07,Brazil,238800,356500
lukamodric10,Luka Modric,Sports with a ball,NA,21600000,Spain,419800,616300
lunay,EL NIÑO 👶🏻,Music,NA,10300000,Mexico,202600,296600
luvadepedreiro,Iran Ferreira,NA,NA,9500000,Brazil,910400,2100000
lynaritaa,Lyna Perez,NA,NA,8600000,United States,227100,299400
m_kayoung,MUN KA YOUNG,Cinema & Actors/actresses,NA,7900000,Indonesia,1100000,1500000
m10_official,Mesut Özil,Sports with a ball,NA,2.4e+07,Turkey,526600,738300
machinegunkelly,the Blonde Don,Music,NA,9600000,United States,284000,457500
maddieziegler,maddie,Cinema & Actors/actresses,Modeling,13900000,United States,533400,799900
madelame,Madelaine Petsch,Cinema & Actors/actresses,NA,25300000,Russia,1300000,1800000
madelyncline,Maddie,NA,NA,12400000,United States,1600000,2300000
madhuridixitnene,Madhuri Dixit,Music,Cinema & Actors/actresses,30600000,India,297200,343100
madisonbaileybabe,Maddie Baby,Lifestyle,NA,6700000,United States,416400,779300
madisonbeer,Madison Beer,Music,NA,30600000,United States,630200,940900
mahnaz_afshar,Mahe Man,Cinema & Actors/actresses,Lifestyle,15700000,Iran,154300,212900
maisa,#NAME?,Music,NA,4.2e+07,Brazil,343700,468000
maluma,MALUMA,Music,NA,61600000,Italy,329200,507600
malutrevejo,Malú 🦋 222🎤,Music,NA,11200000,United States,277200,496800
manchesterunited,Manchester United,Sports with a ball,NA,56500000,United Kingdom,116600,188800
manelyk_oficial,Manelyk Gonzalez,Music,NA,14100000,Mexico,179500,240400
maneskinofficial,Måneskin,Lifestyle,NA,6e+06,Italy,519400,733500
manurios,manu rios,Shows,NA,9900000,Mexico,572700,966000
marcelotwelve,Marcelo Vieira,Sports with a ball,NA,5.3e+07,Spain,413500,622200
marcmarquez93,Marc Márquez,Racing Sports,NA,6600000,Indonesia,478200,634500
marcoasensio10,Marco Asensio,Sports with a ball,NA,13600000,Spain,194300,298300
marcusrashford,Marcus Rashford MBE,Sports with a ball,NA,12700000,United Kingdom,401900,635500
mariaalice,Maria Alice,NA,NA,6800000,Brazil,673400,1400000
mariabecerra,Maria Becerra,Music,NA,8600000,Argentina,332300,785000
mariapedraza_,María Pedraza,Cinema & Actors/actresses,NA,1.2e+07,Spain,279600,369000
marimaria,Mari Maria,Beauty,NA,19900000,Brazil,126600,242700
marinaruybarbosa,Marina Ruy Barbosa,Cinema & Actors/actresses,NA,39800000,Brazil,86600,130100
markiplier,Markiplier,Shows,NA,9800000,United States,406500,463300
markruffalo,Mark Ruffalo,Cinema & Actors/actresses,NA,20500000,Brazil,194300,244200
marktuan,Mark Tuan,Music,Cinema & Actors/actresses,12100000,Thailand,667100,877200
marshmellomusic,marshmello,Music,NA,29200000,India,345600,406600
martingarrix,Martin Garrix,Music,NA,15600000,Mexico,152800,216300
marvel,Marvel Entertainment,Cinema & Actors/actresses,Comics & sketches,62700000,United States,180100,212500
marvelstudios,Marvel Studios,Cinema & Actors/actresses,Comics & sketches,36100000,India,225500,252600
mathildtantot,Mathilde,Lifestyle,Modeling,10300000,United States,310200,470000
matue30,MATUÊ,Lifestyle,NA,6100000,Brazil,186000,408100
maudeapatow,Maude Apatow,Lifestyle,Cinema & Actors/actresses,4800000,United States,577000,955100
maudyayunda,Maudy Ayunda,Music,NA,15400000,Indonesia,110900,163500
maxverstappen1,Max Verstappen,Racing Sports,NA,8200000,United States,398700,524400
meganfox,Megan Fox,Cinema & Actors/actresses,NA,19900000,United States,2100000,3400000
mehraadjam,Mehraad Jam,Music,NA,4700000,Iran,385000,564100
mejiwoo103,지우,NA,NA,11100000,Indonesia,432400,521900
melissamelmaia,MEL MAIA 🍯,Music,NA,11500000,Brazil,245100,444100
melo,LaMelo Ball,Sports with a ball,NA,8300000,United States,298100,605600
memezar,Memezar • Comedy and Culture,Cinema & Actors/actresses,NA,23700000,United States,325600,484700
memphisdepay,Memphis Depay,Sports with a ball,NA,14200000,France,191600,339100
mercedesbenz,Mercedes-Benz,Cars & Motorbikes,Luxury,35300000,Iran,75000,106800
miakhalifa,Mia K.,Fitness & Gym,Lifestyle,27700000,India,1500000,2300000
michaelbjordan,Michael B. Jordan,Cinema & Actors/actresses,NA,18400000,United States,452900,751000
michaelclifford,michael clifford,Music,NA,5800000,United States,291900,427900
michelleobama,Michelle Obama,Finance & Economics,Business & Careers,49100000,United States,132300,150200
miguel_bernardeau,Miguel Bernardeau,Cinema & Actors/actresses,NA,7e+06,Spain,260800,384500
miguel.g.herran,Miguel Herrán,Cinema & Actors/actresses,NA,14200000,Brazil,998200,1500000
miketyson,Mike Tyson,Fitness & Gym,NA,18100000,United States,122800,157300
mikhail_litvin,Михаил Литвин,Shows,NA,14600000,Russia,972000,1200000
milad_khahhh,Milad Ghasemikhah pargam,Lifestyle,NA,5600000,Iran,365100,512700
mileycyrus,Miley Cyrus,Music,NA,163800000,United States,439700,594900
milliebobbybrown,Millie Bobby Brown,Cinema & Actors/actresses,NA,48200000,Brazil,2100000,2700000
mimikeene3,𝕄 𝕀 𝕄 𝕀  𝕂 𝔼 𝔼 ℕ 𝔼,Cinema & Actors/actresses,NA,4300000,United Kingdom,765800,1400000
min9yu_k,김민규,Music,NA,6e+06,Indonesia,1100000,1300000
mingue.k,김민규,Shows,NA,3300000,Indonesia,893500,1100000
mirandacosgrove,Miranda Cosgrove,Music,Cinema & Actors/actresses,9800000,Brazil,213500,333600
mirella,BAD MI ⚡️ MC MIRELLA,Music,NA,26600000,Brazil,230400,486700
missasinfonia,MissaSinfonia,NA,NA,4600000,Mexico,656800,752900
mo.on_air,TAEIL,NA,NA,4400000,Indonesia,1200000,1400000
mohamedramadanws,Mohamed Ramadan,Music,NA,20100000,Egypt,93900,129900
mohanshakti,Shakti Mohan,Art/Artists,Cinema & Actors/actresses,14900000,India,207000,248000
mont.pantoja,MONT,NA,NA,11400000,Mexico,498700,593700
mosalah,Mohamed Salah,Sports with a ball,NA,4.9e+07,Egypt,1200000,1700000
mr_faisu_07,FAISAL SHAIKH,Modeling,Cinema & Actors/actresses,26900000,India,362000,462100
mrbeast,MrBeast,Shows,Humor & Fun & Happiness,1.8e+07,United States,1400000,1800000
ms_puiyi,Siew Pui Yi 🤍,Adult content,NA,17200000,United States,384000,491900
mterstegen1,Marc ter Stegen,Sports with a ball,NA,13300000,Spain,280000,422000
myketowers,MICHAEL,Music,NA,9400000,Spain,207900,376100
na.jaemin0813,JAEMIN,NA,NA,8800000,Indonesia,1900000,2400000
nabilla,Nabilla Vergara ✨,Beauty,NA,7200000,France,266800,367400
nadin_serovski,Nadin Serovski,Family,Lifestyle,9400000,Russia,515700,710100
nadine,小宮希美 🤍,Music,Shows,11100000,Philippines,319900,354600
naileadevora,nai,Shows,NA,5e+06,United States,482400,712700
nameisnani,Nani,Sports with a ball,NA,4800000,India,517800,559000
nancyajram,Nancy Ajram,Music,NA,32400000,Iraq,140300,179500
narendramodi,Narendra Modi,Finance & Economics,Business & Careers,66500000,India,1500000,1700000
narins_beauty,••Narins Beauty••,Lifestyle,NA,8400000,Syria,351600,429000
nasa,NASA,Science,Photography,75300000,India,564500,653200
natalee.007,Natalie Lee,Modeling,Music,6900000,United States,286600,366100
natashawilona12,Natasha Wilona,Beauty,NA,37500000,Indonesia,233300,278600
natgeo,National Geographic,Nature & landscapes,Science,214600000,United States,124700,145500
natgeotravel,National Geographic Travel,Nature & landscapes,Photography,45400000,United States,50600,56900
nattinatasha,NATTI NATASHA,Music,Cinema & Actors/actresses,35400000,Mexico,281100,338300
navidmohammadzadeh,navid mohammadzadeh,Cinema & Actors/actresses,NA,8200000,Iran,541400,764000
nazriyafahadh,Nazriya Nazim Fahadh,Lifestyle,NA,5500000,India,371800,497800
